match_id,innings,over,ball_in_over,b10_actual_next6,b10_predicted_next6
335983,1,0,1,9.0,6.230118221856066
335983,1,0,2,13.0,6.370074942976557
335983,1,0,3,16.0,6.663670210021121
335983,1,0,4,18.0,6.758850204479515
335983,1,0,5,15.0,6.781391786727772
335983,1,0,6,15.0,6.9792467551537705
335983,1,1,1,11.0,7.457694550668853
335983,1,1,2,7.0,7.931279211371387
335983,1,1,3,8.0,8.296297917556315
335983,1,1,4,6.0,8.552590682892173
335983,1,1,5,6.0,9.155133833022015
335983,1,1,6,6.0,8.771609965034619
335983,1,1,7,7.0,8.7721546477822
335983,1,2,1,7.0,8.649238760887783
335983,1,2,2,2.0,9.221346713002987
335983,1,2,3,2.0,8.912466831624547
335983,1,2,4,2.0,8.993447785306044
335983,1,2,5,3.0,8.34182966766954
335983,1,2,6,2.0,8.499531749748465
335983,1,2,7,6.0,8.108102925157871
335983,1,3,1,6.0,8.0364175036058
335983,1,3,2,7.0,8.042045928147532
335983,1,3,3,10.0,8.238524988885935
335983,1,3,4,13.0,8.274543606796545
335983,1,3,5,13.0,8.15854045991469
335983,1,3,6,9.0,8.208698913430728
335983,1,4,1,13.0,8.07919144814522
335983,1,4,2,18.0,8.357846715087062
335983,1,4,3,14.0,8.24277687371977
335983,1,4,4,11.0,8.624881407086924
335983,1,4,5,11.0,8.591010413526263
335983,1,4,6,11.0,8.294623854417418
335983,1,5,1,11.0,8.120035418031383
335983,1,5,2,5.0,8.411123406934369
335983,1,5,3,6.0,7.446347628253153
335983,1,5,4,7.0,7.243900947350874
335983,1,5,5,8.0,7.082242121005438
335983,1,5,6,9.0,7.071189181717519
335983,1,6,1,5.0,7.20428073815674
335983,1,6,2,6.0,6.81547879985909
335983,1,6,3,5.0,7.185641853666424
335983,1,6,4,4.0,7.292807730305816
335983,1,6,5,9.0,7.349771864714006
335983,1,6,6,8.0,7.352867794478516
335983,1,7,1,9.0,6.790103824967307
335983,1,7,2,12.0,7.214405156493363
335983,1,7,3,13.0,6.600840242969829
335983,1,7,4,12.0,7.001841978766651
335983,1,7,5,12.0,7.704091961704413
335983,1,7,6,13.0,6.902885588331476
335983,1,8,1,14.0,7.201734541380287
335983,1,8,2,11.0,7.452148773038706
335983,1,8,3,11.0,7.442465851316125
335983,1,8,4,11.0,7.073108890698093
335983,1,8,5,5.0,8.046328341154048
335983,1,8,6,5.0,7.602782776263941
335983,1,9,1,9.0,7.704793013545543
335983,1,9,2,9.0,7.741557811459982
335983,1,9,3,10.0,7.7425255048656565
335983,1,9,4,10.0,7.426889318712689
335983,1,9,5,16.0,7.351098285196697
335983,1,9,6,19.0,7.6234314634909115
335983,1,10,1,19.0,8.828646951740614
335983,1,10,2,22.0,7.976805094880771
335983,1,10,3,21.0,8.009610853511601
335983,1,10,4,27.0,7.631343419190665
335983,1,10,5,22.0,8.893025555694352
335983,1,10,6,20.0,8.551754238760786
335983,1,11,1,15.0,9.502175485678288
335983,1,11,2,11.0,8.439194451048305
335983,1,11,3,11.0,8.377661692702018
335983,1,11,4,6.0,9.36730313206641
335983,1,11,5,5.0,8.510305240406142
335983,1,11,6,4.0,8.769875444610479
335983,1,12,1,4.0,9.049938804995962
335983,1,12,2,5.0,7.749531929382293
335983,1,12,3,5.0,8.62347150158479
335983,1,12,4,4.0,8.89042321359612
335983,1,12,5,5.0,8.229465486320677
335983,1,12,6,5.0,8.761333613699541
335983,1,12,7,10.0,8.878484529713145
335983,1,12,8,10.0,9.208160443189314
335983,1,13,1,13.0,8.828351346015912
335983,1,13,2,14.0,7.972210887431664
335983,1,13,3,15.0,8.875800410593543
335983,1,13,4,15.0,8.942469353322071
335983,1,13,5,13.0,9.678478596303767
335983,1,13,6,18.0,9.213735945432044
335983,1,14,1,20.0,9.269474763824743
335983,1,14,2,19.0,9.21316133106168
335983,1,14,3,17.0,9.215146636110227
335983,1,14,4,16.0,9.253782586225235
335983,1,14,5,13.0,9.531394134417335
335983,1,14,6,8.0,9.933574832127505
335983,1,15,1,3.0,10.189238325771642
335983,1,15,2,4.0,8.96294256279785
335983,1,15,3,10.0,9.471270886896884
335983,1,15,4,14.0,9.235869075234977
335983,1,15,5,14.0,9.754755789445174
335983,1,15,6,14.0,9.819495477654572
335983,1,16,1,13.0,9.80214178674676
335983,1,16,2,16.0,9.932304549951018
335983,1,16,3,11.0,10.62543771675627
335983,1,16,4,9.0,10.307887462482514
335983,1,16,5,14.0,10.322734056864658
335983,1,16,6,17.0,10.405904686306549
335983,1,17,1,21.0,9.534063548610886
335983,1,17,2,18.0,10.280674619813995
335983,1,17,3,18.0,10.317205465112743
335983,1,17,4,17.0,10.129654441408851
335983,1,17,5,17.0,10.432148692822736
335983,1,17,6,15.0,11.150315213611622
335983,1,18,1,17.0,11.765666059746083
335983,1,18,2,22.0,10.588688263284054
335983,1,18,3,25.0,10.729994123286131
335983,1,18,4,25.0,10.814892789919652
335983,1,18,5,25.0,10.949740700240556
335983,1,18,6,25.0,10.969013397267457
335983,2,0,1,6.0,6.5109020143326095
335983,2,0,2,6.0,6.504080112099148
335983,2,0,3,7.0,6.658593122499532
335983,2,0,4,6.0,6.871758847780324
335983,2,0,5,10.0,6.799826571100149
335983,2,0,6,7.0,7.270205881702022
335983,2,1,1,7.0,7.403951538209005
335983,2,1,2,11.0,7.503584971097078
335983,2,1,3,10.0,7.990566453704008
335983,2,1,4,14.0,7.987445401978768
335983,2,1,5,11.0,8.425159021681576
335983,2,1,6,11.0,8.481299318569857
335983,2,2,1,10.0,8.582657690655465
335983,2,2,2,6.0,8.781533076970057
335983,2,2,3,7.0,8.743779477266834
335983,2,2,4,4.0,8.912696805716138
