match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
335983,1,15,1,79,65.496994
335983,1,15,2,73,61.252857
335983,1,15,3,73,63.386345
335983,1,15,4,73,59.426014
335983,1,15,5,73,51.839993
335983,1,15,6,72,45.789566
335983,1,16,1,71,43.445225
335983,1,16,2,70,38.8992
335983,1,16,3,69,39.75915
335983,1,16,4,63,39.31467
335983,1,16,5,59,36.299557
335983,1,16,6,58,34.550602
335983,1,17,1,57,33.55847
335983,1,17,2,57,30.03353
335983,1,17,3,53,27.753586
335983,1,17,4,52,24.921762
335983,1,17,5,50,25.15183
335983,1,17,6,44,27.206379
335983,1,18,1,40,25.814285
335983,1,18,2,36,24.102512
335983,1,18,3,35,20.365038
335983,1,18,4,34,18.776352
335983,1,18,5,33,18.307941
335983,1,18,6,27,15.71198
335983,1,19,1,25,15.7964115
335983,1,19,2,19,15.097506
335983,1,19,3,13,13.716054
335983,1,19,4,9,11.2027445
335983,1,19,5,8,9.954491
335983,1,19,6,2,6.996253
335983,2,15,1,42,46.359173
335983,2,15,2,40,45.9333
335983,2,15,3,39,45.57901
335983,2,15,4,35,42.794777
335983,2,15,5,34,42.694286
335983,2,15,6,33,39.439915
335983,2,16,1,31,40.472645
335983,2,16,2,30,39.787773
335983,2,16,3,29,38.220436
335983,2,16,4,28,35.79802
335983,2,16,5,24,34.410423
335983,2,16,6,23,37.07463
335983,2,17,1,21,33.749836
335983,2,17,2,20,31.540947
335983,2,17,3,19,28.926899
335983,2,17,4,17,24.608456
335983,2,17,5,17,22.935648
335983,2,17,6,16,21.726698
335983,2,18,1,16,20.305763
335983,2,18,2,15,19.132221
335983,2,18,3,14,16.086609
335983,2,18,4,13,15.556532
335983,2,18,5,12,14.734695
335983,2,18,6,10,13.289906
335983,2,19,1,9,10.694603
335983,2,19,2,8,9.677699
335983,2,19,3,7,8.160925
335983,2,19,4,7,5.584421
335983,2,19,5,1,4.5089517
335983,2,19,6,0,2.665112
335990,1,15,1,66,55.481205
335990,1,15,2,65,57.203712
335990,1,15,3,61,53.19533
335990,1,15,4,60,49.59254
335990,1,15,5,56,43.5623
335990,1,15,6,55,41.559998
335990,1,16,1,54,38.4696
335990,1,16,2,53,39.283424
335990,1,16,3,49,36.817036
335990,1,16,4,45,36.77767
335990,1,16,5,43,33.301968
335990,1,16,6,43,33.098465
