match_id,innings,over,ball_in_over,bowler,w11_actual_future_runs,w11_predicted_future_runs
335983,1,5,6,JR Hopes,42,22.965324470174846
335983,1,8,6,IK Pathan,25,15.259293638637892
335983,1,12,6,WA Mota,20,14.972180643730063
335983,1,15,6,IK Pathan,17,10.252937171904472
335983,2,5,6,MS Gony,16,7.7472087521866895
335983,2,8,6,Joginder Sharma,35,14.0507820163023
335983,2,12,6,P Amarnath,10,6.613234073835556
335990,1,5,6,SR Watson,12,7.886861360314597
335990,1,8,6,SK Warne,41,16.806151249795768
335990,1,15,6,SK Warne,15,7.472747226180873
335990,2,5,6,PP Ojha,7,21.291324130206295
335990,2,8,6,Shahid Afridi,16,14.718763324031627
335990,2,12,6,A Symonds,38,11.302617697620738
335995,1,5,6,VRV Singh,24,18.050116140224013
335995,1,8,6,PP Chawla,18,15.78430643912032
335995,2,5,6,MF Maharoof,19,18.09672926256501
335995,2,8,6,Mohammad Asif,12,8.851546521031933
335996,1,5,6,Z Khan,14,11.93767684744005
335996,1,8,6,B Akhil,24,24.412281849813876
335996,1,12,6,B Akhil,14,9.52937917431568
335996,2,5,6,MS Gony,8,6.647799421142113
335996,2,8,6,JA Morkel,20,11.25734866634829
335996,2,12,6,P Amarnath,8,8.649985261583268
336002,1,5,6,DW Steyn,1,7.521694748597843
336002,1,8,6,B Akhil,28,18.05556720907914
336002,1,12,6,R Vinay Kumar,12,12.735068731456808
336002,2,5,6,DP Vijaykumar,23,21.148470338340534
336002,2,8,6,SB Bangar,17,6.555977386004711
336002,2,12,6,WPUJC Vaas,13,7.906307300111867
336003,1,5,6,AB Dinda,11,11.40096562442431
336003,1,8,6,Mohammad Hafeez,6,16.043778798516797
336003,1,12,6,Umar Gul,26,14.42379181978018
336003,2,5,6,IK Pathan,8,8.84006412607924
336003,2,8,6,Gagandeep Singh,40,18.597909829841463
336003,2,12,6,Gagandeep Singh,18,6.9430489738412735
336003,2,15,6,JR Hopes,18,13.01549418471794
336016,1,5,6,PP Chawla,19,23.039709869852967
336016,1,8,6,VRV Singh,7,17.63281983919984
336016,2,5,6,Z Khan,17,9.3632708200598
336018,1,5,6,DJ Bravo,32,20.15660031316104
336018,1,8,6,DS Kulkarni,21,13.42534631216692
336018,1,12,6,A Nehra,10,8.902059407978665
336018,1,15,6,DJ Bravo,14,8.679933061014035
336018,2,5,6,JA Morkel,0,6.76627009613035
336018,2,8,6,L Balaji,0,14.890629105066292
336022,1,5,6,VRV Singh,11,23.677010608110503
336022,1,8,6,RR Powar,0,12.730794035022813
336036,1,5,6,YK Pathan,8,25.33018605770121
336036,1,8,6,SK Trivedi,27,24.913850417761022
336036,1,12,6,SK Trivedi,10,10.878250920309515
336036,1,15,6,SK Warne,0,1.3053681639241266
336036,2,5,6,CRD Fernando,25,22.22400233784729
336036,2,15,6,CRD Fernando,15,8.244440877319613
392188,1,8,6,A Kumble,30,13.55503435343567
392188,1,15,6,KP Pietersen,12,9.106992356341134
392188,2,5,6,RP Singh,4,7.211421675262497
392188,2,8,6,PP Ojha,14,14.825299907129494
392188,2,15,6,SB Styris,8,9.2737924531777
392212,1,5,6,DJ Bravo,15,17.38065410525517
392212,1,8,6,DJ Bravo,12,12.06648568352747
392212,1,12,6,ST Jayasuriya,21,11.09110231699556
392212,1,15,6,DS Kulkarni,1,0.1031945415822757
392212,2,8,6,TL Suman,12,21.964344294964736
392212,2,12,6,RJ Harris,9,10.177620095197236
392212,2,15,6,RG Sharma,4,18.17668170354253
392216,1,5,6,S Sreesanth,23,15.757249952801008
392216,1,8,6,PP Chawla,11,14.032141496589915
392216,1,15,6,IK Pathan,9,11.908770951636837
392216,2,8,6,A Symonds,4,13.837006890904377
392216,2,15,6,PP Ojha,10,9.798276152594465
392220,1,5,6,SK Trivedi,23,20.171532886503694
392220,1,8,6,SK Warne,14,12.003853848051401
392220,1,12,6,YK Pathan,22,13.765281544811003
392220,2,5,6,WPUJC Vaas,5,6.921778240587793
392220,2,8,6,A Symonds,12,6.346126044312268
392220,2,15,6,RG Sharma,5,15.21137617233315
392223,1,12,6,DR Smith,16,15.816059666345904
392223,1,15,6,RP Singh,10,9.67809181707646
392223,2,5,6,A Nehra,19,13.358927719195146
392223,2,8,6,A Mishra,25,16.512260444837814
392223,2,12,6,PJ Sangwan,5,1.0206909839434959
392223,2,15,6,A Nehra,8,5.3607401291023
392228,1,5,6,A Symonds,26,25.97393700883049
392228,1,8,6,Harmeet Singh,30,13.93921150051241
392228,1,12,6,RG Sharma,11,13.267286465161984
392228,2,5,6,BJ Hodge,14,17.621849844765936
392228,2,12,6,M Kartik,6,7.515496583463397
392236,1,5,6,A Symonds,13,24.597331556139196
392236,1,8,6,Jaskaran Singh,16,9.422812731994144
392236,1,12,6,A Symonds,5,7.744382623573477
392236,2,5,6,RE van der Merwe,17,14.304269712883862
392236,2,8,6,B Akhil,10,14.928551496627714
392236,2,12,6,RE van der Merwe,7,8.097419640999222
392237,1,5,6,PP Ojha,19,14.686137328798155
392237,1,8,6,A Symonds,2,12.05333952051205
392237,1,12,6,RG Sharma,18,15.04114139906849
392237,2,5,6,V Sehwag,1,20.724821009223948
392237,2,12,6,A Nehra,9,7.793624861285661
392237,2,15,6,PJ Sangwan,2,12.876222765687094
419110,1,5,6,M Muralitharan,20,13.921559882538995
419110,1,8,6,R Ashwin,15,12.544283765919586
419110,1,12,6,R Ashwin,10,8.654329357215916
419110,1,15,6,L Balaji,9,9.804339435937635
419110,2,5,6,PP Ojha,25,17.42104711821509
419110,2,8,6,RG Sharma,14,10.490030754489323
419112,1,5,6,JH Kallis,16,13.694100245193493
419112,1,8,6,A Kumble,22,15.58667757934438
419112,1,12,6,V Kohli,1,11.44804808234874
419112,2,8,6,PP Chawla,11,15.62434808560294
419112,2,15,6,Bipul Sharma,23,13.67941542411664
419113,1,5,6,LR Shukla,28,20.325257994550995
419113,1,8,6,LR Shukla,21,14.509406680635786
419113,1,12,6,SE Bond,17,7.82786753216321
419113,2,8,6,JM Kemp,5,13.50529154880394
419113,2,15,6,M Muralitharan,3,7.441844438716915
419121,1,5,6,L Balaji,21,23.66415548771911
419121,1,8,6,M Muralitharan,12,14.70023112548563
419121,1,12,6,R Ashwin,8,10.596505578411628
419121,2,5,6,J Theron,11,21.19571762260091
419121,2,8,6,RR Powar,3,7.029063173343714
419121,2,12,6,J Theron,8,12.129851063116684
419125,1,5,6,DJ Bravo,29,26.40826072736733
419125,1,8,6,Harbhajan Singh,6,7.128212745690619
419125,1,12,6,SL Malinga,21,14.396665519384076
419125,1,15,6,Z Khan,12,14.038302592706001
419125,2,5,6,L Balaji,13,7.949174623546684
419125,2,8,6,SB Jakati,8,12.273154227408584
419125,2,12,6,M Muralitharan,7,8.625135499039189
419134,1,5,6,S Narwal,17,9.468457282806742
419134,1,8,6,SK Warne,16,13.702612584303381
419134,1,15,6,SK Trivedi,9,10.325784129461326
419134,2,5,6,UT Yadav,15,19.77382498818423
419134,2,8,6,A Mishra,12,14.35842409201019
419137,1,8,6,SK Warne,28,22.69663406764524
419137,1,12,6,SK Warne,12,16.860526559135334
419137,2,5,6,JA Morkel,27,12.310928830273035
419137,2,8,6,SB Jakati,27,15.051936767179159
419137,2,15,6,DE Bollinger,8,10.069771668506794
419141,1,5,6,A Symonds,7,18.29669256225053
419141,1,8,6,RJ Harris,18,11.0342920155823
419141,1,12,6,RJ Harris,12,7.33156570245936
419141,1,15,6,Harmeet Singh,4,8.055855804566567
419141,2,5,6,M Morkel,28,21.664586898847624
419141,2,12,6,SK Trivedi,3,14.491370350048868
419141,2,15,6,SK Warne,4,8.442145995597647
419142,1,5,6,Harbhajan Singh,7,7.198333676365256
419142,1,8,6,DJ Bravo,12,16.601013787462865
419142,1,12,6,SL Malinga,12,8.622604353667125
419142,1,15,6,KA Pollard,6,8.310814789739183
419142,2,5,6,R Ashwin,6,14.737313418489052
419142,2,8,6,T Thushara,7,14.688367688765533
419142,2,12,6,R Ashwin,2,8.540749035206009
419143,1,5,6,YK Pathan,12,13.068515169829933
419143,1,8,6,SK Warne,27,13.111535906733478
419143,1,12,6,SK Trivedi,14,11.768518311897147
419143,2,5,6,PP Chawla,22,19.427039764282938
419150,1,8,6,SK Trivedi,30,22.862206786158637
419150,1,12,6,SK Trivedi,26,16.023028805072567
419150,1,15,6,AP Dole,13,14.47302365450458
419150,2,5,6,DS Kulkarni,13,9.242610452526286
419150,2,8,6,Harbhajan Singh,11,16.562727693572324
419150,2,12,6,SL Malinga,15,15.79735064616488
419150,2,15,6,SL Malinga,13,8.527606459166005
419152,1,5,6,AB McDonald,38,24.437931108813842
419152,1,8,6,PD Collingwood,20,20.84447414839782
419152,1,12,6,PD Collingwood,4,8.649594947912068
419152,2,5,6,DJ Bravo,13,14.739595961556331
419152,2,8,6,KA Pollard,11,17.926140350390664
419152,2,12,6,KA Pollard,5,6.026617981499909
419152,2,15,6,Harbhajan Singh,5,8.261218425233224
419157,1,5,6,JH Kallis,36,23.685864334451598
419157,1,8,6,Pankaj Singh,23,9.508276959951266
419157,1,12,6,JH Kallis,19,11.4066894584441
419157,2,5,6,R McLaren,10,13.611601121766286
419157,2,8,6,Harbhajan Singh,15,13.155954542778847
501209,1,5,6,B Lee,22,16.011915214154932
501209,1,15,6,L Balaji,8,9.81642157795737
501209,2,5,6,A Singh,3,13.657218200456315
501209,2,12,6,SK Trivedi,22,16.140549134176798
501210,1,5,6,NLTC Perera,30,20.26240742888095
501210,1,8,6,RV Gomez,18,15.346412548398972
501210,1,12,6,NLTC Perera,14,9.46819495837163
501210,1,15,6,R Vinay Kumar,21,10.752016982773268
501210,2,5,6,KA Pollard,30,23.176958901016498
501210,2,8,6,KA Pollard,13,9.805148800662426
501210,2,12,6,AG Murtaza,21,6.821793230346605
501212,1,5,6,R McLaren,24,25.2088793739853
501212,1,15,6,RJ Harris,9,10.896575671723095
501212,2,5,6,I Sharma,5,7.26012199448176
501212,2,8,6,DT Christian,12,18.308060572646227
501221,1,5,6,Joginder Sharma,31,27.127620714365275
501221,1,8,6,R Ashwin,23,25.85009594630244
