match_id,innings,over,ball_in_over,bowler,w15_actual,w15_predicted_prob
335983,1,5,6,JR Hopes,0,0.5807006060731529
335983,2,5,6,MS Gony,0,0.6065211051340876
335990,1,5,6,SR Watson,0,0.15625236430528738
335990,2,5,6,PP Ojha,1,0.969076518457885
335995,1,5,6,VRV Singh,0,0.07147497691415294
335995,2,5,6,MF Maharoof,1,0.9336112674271593
335996,1,5,6,Z Khan,0,0.11860422459948038
335996,2,5,6,MS Gony,1,0.8405378989050084
336002,1,5,6,DW Steyn,1,0.04218064824493806
336002,2,5,6,DP Vijaykumar,0,0.38068999159473266
336003,1,5,6,AB Dinda,0,0.7980315613403476
336003,2,5,6,IK Pathan,0,0.11654499825609305
336016,1,5,6,PP Chawla,1,0.9884105318364618
336016,2,5,6,Z Khan,0,0.07080933146863179
336018,1,5,6,DJ Bravo,0,0.06067310022520295
336018,2,5,6,JA Morkel,1,0.9871150216464518
336022,1,5,6,VRV Singh,1,0.9503901410208172
336036,1,5,6,YK Pathan,0,0.002718220803929873
336036,2,5,6,CRD Fernando,0,0.001317042744532655
392189,1,5,6,A Flintoff,1,0.7839282810775396
392189,2,5,6,PJ Sangwan,0,0.007257730580785634
392215,1,5,6,PJ Sangwan,1,0.008782544860045571
392219,1,5,6,PJ Sangwan,0,0.5141569405560886
392223,2,5,6,A Nehra,1,0.8640743139912311
392226,1,5,6,S Sreesanth,1,0.8267342657085623
392226,2,5,6,MF Maharoof,1,0.3869724060475709
392231,1,5,6,BJ Hodge,1,0.2104002045983378
419106,1,5,6,Jaskaran Singh,0,0.7556563480906267
419106,2,5,6,M Kartik,1,0.551357784866416
419113,1,5,6,LR Shukla,0,0.3196909192882174
419115,1,5,6,JH Kallis,0,0.013568782998905467
419115,2,5,6,SK Warne,1,0.5446938273046671
419116,1,5,6,L Balaji,0,0.02521207609744081
419116,2,5,6,PJ Sangwan,0,0.22640800479908144
419125,1,5,6,DJ Bravo,1,0.8612912466879563
419125,2,5,6,L Balaji,0,0.7073237433852874
419129,1,5,6,M Muralitharan,0,0.44935465213045944
419129,2,5,6,SW Tait,1,0.027881670472089403
419138,1,5,6,A Symonds,1,0.07081442703944212
419138,2,5,6,DJ Bravo,0,0.017251633343378134
419141,1,5,6,A Symonds,1,0.6215020205200095
419141,2,5,6,M Morkel,0,0.03679142052379017
419142,1,5,6,Harbhajan Singh,0,0.012619434241201537
419142,2,5,6,R Ashwin,1,0.6112726081326063
419145,1,5,6,RP Singh,0,0.794026829394439
419145,2,5,6,JH Kallis,0,0.00367533164859339
419146,1,5,6,PP Chawla,0,0.022922327007611883
419146,2,5,6,Harbhajan Singh,1,0.3134093481226425
419154,1,5,6,Pankaj Singh,0,0.022438416658957964
419156,1,5,6,MR Marsh,1,0.4571367142219222
419156,2,5,6,J Theron,1,0.3278681046333691
419161,2,5,6,DJ Bravo,1,0.006446394308279881
501214,1,5,6,L Balaji,1,0.37397388366037804
501214,2,5,6,SR Watson,0,0.43485460499267653
501215,1,5,6,NLTC Perera,1,0.7549481376324638
501215,2,5,6,TG Southee,0,0.9733436510221175
501218,1,5,6,AN Ahmed,0,0.06006423123625946
501218,2,5,6,WD Parnell,0,0.10707160913733232
501226,1,5,6,M Kartik,1,0.7871368573010258
501226,2,5,6,R Ashwin,0,0.34918578142036294
501230,1,5,6,UT Yadav,1,0.5505418626340898
501230,2,5,6,Iqbal Abdulla,1,0.4402848329623911
501231,1,5,6,A Singh,1,0.14439292386111988
501231,2,5,6,AG Murtaza,0,0.013692116490994298
501232,1,5,6,Kamran Khan,1,0.9971968222035885
501232,2,5,6,S Aravind,0,0.7341912004730303
501235,1,5,6,SK Warne,1,0.9883909996693448
501235,2,5,6,M Kartik,0,0.34733160049848316
501236,1,5,6,JP Duminy,0,0.3407849079293347
501236,2,5,6,R Ashwin,1,0.6643400313943755
501237,1,5,6,BA Bhatt,1,0.09584145202788406
501237,2,5,6,MM Patel,1,0.1941288205314938
501246,1,5,6,IK Pathan,0,0.013317270423392863
501246,2,5,6,DS Kulkarni,1,0.6066978282145307
501249,1,5,6,J Botha,0,0.009346041145443332
501249,2,5,6,R Ashwin,1,0.8563300012809894
501260,1,5,6,S Aravind,0,0.0012289383916894493
501260,2,5,6,SJ Srivastava,0,0.3861579967763275
501262,1,5,6,Iqbal Abdulla,0,0.007596141195980909
501262,2,5,6,B Kumar,0,0.004337896242806863
501271,1,5,6,CH Gayle,0,0.3162752449119559
548310,1,5,6,M Morkel,0,0.4043227158679356
548310,2,5,6,AB McDonald,1,0.24223226418226415
548316,1,5,6,M Morkel,0,0.0052267771697523035
548316,2,5,6,R Ashwin,0,0.16604060017453412
548317,1,5,6,A Singh,0,0.0549945369417387
548317,2,5,6,PP Ojha,0,0.5375760690014608
548326,1,5,6,J Botha,1,0.3295875228174894
548326,2,5,6,DT Christian,1,0.9929707755758159
548333,1,5,6,M Morkel,1,0.9722455278274243
548333,2,5,6,AD Mathews,1,0.9879045056495913
548342,1,5,6,RP Singh,1,0.38051710320276677
548342,2,5,6,UT Yadav,1,0.906800342711113
548345,1,5,6,KK Cooper,1,0.31037803261481234
548345,2,5,6,M Morkel,0,0.09532450099789264
