match_id,innings,over,ball_in_over,b13_actual,b13_predicted_prob
335983,1,0,1,0,0.4511755557045945
335983,1,0,2,0,0.43845170585179943
335983,1,0,3,0,0.4002386461588861
335983,1,0,4,0,0.39545642481618576
335983,1,0,5,0,0.3369311859370404
335983,1,0,6,0,0.35688140265812335
335983,1,1,1,0,0.32100485266454626
335983,1,1,2,0,0.31654668501002636
335983,1,1,3,0,0.30192816962696034
335983,1,1,4,0,0.2989398905947997
335983,1,1,5,0,0.2832083863080547
335983,1,1,6,0,0.2844000045112532
335983,1,1,7,0,0.2837966679589911
335983,1,2,1,0,0.2919098902995584
335983,1,2,2,0,0.2841347004915516
335983,1,2,3,0,0.2974141582142759
335983,1,2,4,0,0.2780108035281247
335983,1,2,5,1,0.4080468779604021
335983,1,2,6,0,0.40276599369138555
335983,1,2,7,0,0.3968596885594978
335983,1,3,1,0,0.40221112264861314
335983,1,3,2,0,0.3951653248669317
335983,1,3,3,0,0.3887246914811089
335983,1,3,4,0,0.38224902476790634
335983,1,3,5,0,0.37443613082508886
335983,1,3,6,0,0.37212800431320103
335983,1,4,1,0,0.3954963923191712
335983,1,4,2,0,0.3708666186233401
335983,1,4,3,0,0.3697293484937739
335983,1,4,4,0,0.38713843010955235
335983,1,4,5,0,0.37900414282060463
335983,1,4,6,0,0.3530315942794968
335983,1,5,1,0,0.3660965689563138
335983,1,5,2,0,0.3891668155968233
335983,1,5,3,0,0.3808856534692645
335983,1,5,4,0,0.3571119321480082
335983,1,5,5,0,0.3487867596693187
335983,1,5,6,0,0.3403747452006442
335983,1,6,1,0,0.3095436354862172
335983,1,6,2,1,0.45963329548313103
335983,1,6,3,0,0.4341021551794359
335983,1,6,4,0,0.4303502247820635
335983,1,6,5,0,0.4237457818148022
335983,1,6,6,0,0.4171267488993157
335983,1,7,1,1,0.5703999601819304
335983,1,7,2,0,0.5636099319101475
335983,1,7,3,0,0.5536271788138464
335983,1,7,4,0,0.5466775265402993
335983,1,7,5,0,0.5558177055089003
335983,1,7,6,0,0.5646299425981702
335983,1,8,1,0,0.552749047696477
335983,1,8,2,0,0.5558399441821421
335983,1,8,3,0,0.567868880525046
335983,1,8,4,0,0.5387273981614671
335983,1,8,5,0,0.5489962081673009
335983,1,8,6,0,0.5611033780752631
335983,1,9,1,0,0.5527523514472569
335983,1,9,2,0,0.5459295691750514
335983,1,9,3,0,0.5390624735392772
335983,1,9,4,0,0.5285567788427245
335983,1,9,5,0,0.5179495247409311
335983,1,9,6,0,0.5109145068934298
335983,1,10,1,0,0.5362434581192835
335983,1,10,2,0,0.5483102722294647
335983,1,10,3,0,0.5260659532896496
335983,1,10,4,0,0.5153443170588321
335983,1,10,5,0,0.5271753440514544
335983,1,10,6,0,0.5505939548866351
335983,1,11,1,0,0.5763665959938375
335983,1,11,2,0,0.5809317848565768
335983,1,11,3,0,0.5742991660326964
335983,1,11,4,0,0.5678642612160467
335983,1,11,5,0,0.5799565653134772
335983,1,11,6,0,0.558392315107369
335983,1,12,1,0,0.5655135049294367
335983,1,12,2,1,0.6947025272042968
335983,1,12,3,0,0.6888599550548471
335983,1,12,4,0,0.6829379130924007
335983,1,12,5,0,0.67343690638005
335983,1,12,6,0,0.667313588046895
335983,1,12,7,0,0.6611163195007308
335983,1,12,8,0,0.6548468823016033
335983,1,13,1,0,0.658219606557842
335983,1,13,2,0,0.6481971495178499
335983,1,13,3,0,0.6417593652269519
335983,1,13,4,0,0.6352557692940963
335983,1,13,5,0,0.6476253024843642
335983,1,13,6,0,0.6585959051567639
335983,1,14,1,0,0.6588221293064599
335983,1,14,2,0,0.6696267481956805
335983,1,14,3,0,0.6498852159815228
335983,1,14,4,0,0.643465197827089
335983,1,14,5,0,0.6484735477851182
335983,1,14,6,0,0.6779509911223832
335983,1,15,1,0,0.6841935788059721
335983,1,15,2,0,0.6744806650781704
335983,1,15,3,1,0.7701154203689949
335983,1,15,4,0,0.7620752959313819
335983,1,15,5,0,0.7569476007070175
335983,1,15,6,0,0.7517353402789565
335983,1,16,1,0,0.7569056479356591
335983,1,16,2,0,0.7516735551963418
335983,1,16,3,0,0.762182360250493
335983,1,16,4,0,0.7797743488000007
335983,1,16,5,0,0.7749114293652537
335983,1,16,6,0,0.7561403674416513
335983,1,17,1,0,0.7581016287336227
335983,1,17,2,0,0.7623806684155263
335983,1,17,3,0,0.7710100009813383
335983,1,17,4,0,0.7552095167022578
335983,1,17,5,0,0.7658519948312699
335983,1,17,6,0,0.7833776294267071
335983,1,18,1,0,0.796672221405479
335983,1,18,2,0,0.7920837430164439
335983,1,18,3,0,0.774329222886604
335983,1,18,4,0,0.7693661897699422
335983,1,18,5,0,0.7797331007648853
335983,1,18,6,0,0.790840441442556
335983,1,19,1,0,0.7972720175334949
335983,1,19,2,0,0.8184305366486475
335983,1,19,3,0,0.8221024286202783
335983,1,19,4,0,0.8179785473881436
335983,1,19,5,0,0.8155735509672661
335983,1,19,6,0,0.8253329764197458
335983,2,0,1,0,0.16411168050225527
335983,2,0,2,0,0.300383633899446
335983,2,0,3,0,0.3271813945421005
335983,2,0,4,0,0.327356607846941
335983,2,0,5,0,0.3369311859370404
335983,2,0,6,0,0.30261508840462126
335983,2,1,1,0,0.33047537155970796
335983,2,1,2,0,0.3172587369892012
335983,2,1,3,0,0.31288951457804354
335983,2,1,4,0,0.3117656695543662
335983,2,1,5,0,0.2972918933992645
335983,2,1,6,0,0.30937469449572463
