match_id,innings,over,ball_in_over,bowler,w1_actual_economy,w1_predicted_economy
335983,1,5,6,JR Hopes,13.25,9.362405600518283
335983,1,8,6,IK Pathan,11.75,11.02109599073658
335983,1,12,6,WA Mota,12.0,8.045493482152786
335983,1,15,6,IK Pathan,11.75,9.931717043501022
335983,2,5,6,MS Gony,10.5,8.475204701930991
335983,2,8,6,Joginder Sharma,11.75,11.841525869369956
335983,2,12,6,P Amarnath,10.5,10.854597309610908
335983,2,15,6,P Amarnath,10.5,10.574095463761685
335990,1,5,6,SR Watson,8.0,7.802274116568434
335990,1,8,6,SK Warne,11.75,6.549923841869552
335990,1,12,6,YK Pathan,10.0,9.657950059118953
335990,1,15,6,SK Warne,11.75,10.385092296610857
335990,2,5,6,PP Ojha,11.5,13.809097051182173
335990,2,8,6,Shahid Afridi,7.0,9.699587351845881
335990,2,12,6,A Symonds,16.235294117647058,8.986302247815535
335990,2,15,6,D Kalyankrishna,10.0,9.937726919016916
335995,1,5,6,VRV Singh,7.25,6.965580298017062
335995,1,8,6,PP Chawla,7.25,6.76680655907641
335995,1,12,6,PP Chawla,7.25,7.402852117155344
335995,1,15,6,S Sreesanth,12.5,11.789994654729343
335995,2,5,6,MF Maharoof,10.333333333333334,10.00005552667279
335995,2,8,6,Mohammad Asif,9.75,8.862114697943323
335995,2,12,6,MF Maharoof,10.333333333333334,10.242357900858496
335995,2,15,6,GD McGrath,7.25,7.200846470472946
335996,1,5,6,Z Khan,9.5,8.868089373786626
335996,1,8,6,B Akhil,8.5,9.97714212252563
335996,1,12,6,B Akhil,8.5,7.31501424627912
335996,1,15,6,B Akhil,8.5,8.545089827977225
335996,2,5,6,MS Gony,8.5,8.876094586972634
335996,2,8,6,JA Morkel,9.5,9.526060691235607
335996,2,12,6,P Amarnath,9.5,9.850997382879797
335996,2,15,6,P Amarnath,9.5,9.614266154379488
336002,1,5,6,DW Steyn,4.75,6.593431776262482
336002,1,8,6,B Akhil,13.0,9.227402648793403
336002,1,12,6,R Vinay Kumar,6.75,7.9537562706307465
336002,1,15,6,B Akhil,13.0,12.579609909872454
336002,2,5,6,DP Vijaykumar,7.25,7.327994686036289
336002,2,8,6,SB Bangar,7.5,4.968777878998033
336002,2,12,6,WPUJC Vaas,9.0,8.02522235867964
336002,2,15,6,SB Bangar,7.5,7.512441880924632
336003,1,5,6,AB Dinda,8.0,6.712779145377403
336003,1,8,6,Mohammad Hafeez,9.333333333333334,10.242614577527482
336003,1,12,6,Umar Gul,6.75,5.153728734705443
336003,1,15,6,DJ Hussey,7.666666666666667,8.096042067387224
336003,2,5,6,IK Pathan,4.5,5.341089109814229
336003,2,8,6,Gagandeep Singh,10.75,7.4409956707933915
336003,2,12,6,Gagandeep Singh,10.75,8.469998277759498
336003,2,15,6,JR Hopes,11.666666666666666,8.611059148137684
336016,1,5,6,PP Chawla,8.25,9.806660706203221
336016,1,8,6,VRV Singh,3.75,6.846677855712899
336016,1,12,6,PP Chawla,8.25,8.194684115501337
336016,1,15,6,JR Hopes,11.0,11.130127588881114
336016,2,5,6,Z Khan,8.75,6.856013099357121
336016,2,8,6,R Vinay Kumar,5.5,7.295152183237111
336016,2,12,6,V Kohli,9.0,10.701296190147229
336018,1,5,6,DJ Bravo,9.25,7.440116198426571
336018,1,8,6,DS Kulkarni,8.25,6.970794788456208
336018,1,12,6,A Nehra,7.75,7.9714288371808255
336018,1,15,6,DJ Bravo,9.25,8.027496365822493
336018,2,5,6,JA Morkel,14.666666666666666,13.038277566455578
336018,2,8,6,L Balaji,4.5,6.98469229837922
336018,2,12,6,M Muralitharan,10.0,9.783635638689974
336022,1,5,6,VRV Singh,16.5,15.930698330448784
336022,1,8,6,RR Powar,11.0,10.973309925227392
336022,2,5,6,A Mishra,10.5,9.72072152937156
336036,1,5,6,YK Pathan,3.0,6.377674933698349
336036,1,8,6,SK Trivedi,7.75,7.574633743826529
336036,1,12,6,SK Trivedi,7.75,8.121230444505791
336036,1,15,6,SK Warne,7.5,8.47898438787994
336036,2,5,6,CRD Fernando,6.75,6.888598611685983
336036,2,8,6,AM Nayar,4.0,7.5087120386998585
336036,2,12,6,ST Jayasuriya,4.0,6.186639435121455
336036,2,15,6,CRD Fernando,6.75,4.736980512623392
392188,1,5,6,JH Kallis,9.5,9.259090374667483
392188,1,8,6,A Kumble,9.75,6.076381192400962
392188,1,12,6,A Kumble,9.75,9.581557325177501
