match_id,innings,over,ball_in_over,bowler,w14_actual_future_economy,w14_predicted_future_economy
335983,1,5,6,JR Hopes,14.0,9.595178183367235
335983,1,8,6,IK Pathan,12.5,12.097861629751305
335983,1,12,6,WA Mota,15.0,10.894026083977517
335983,1,15,6,IK Pathan,17.0,12.888737526394575
335983,2,5,6,MS Gony,13.714285714285714,8.100505890731974
335983,2,8,6,Joginder Sharma,11.052631578947368,10.545639746302987
335983,2,12,6,P Amarnath,10.0,9.33765514944223
335990,1,5,6,SR Watson,10.285714285714286,9.448546078264686
335990,1,8,6,SK Warne,13.666666666666666,7.149898706330875
335990,1,15,6,SK Warne,15.0,9.046584961120184
335990,2,5,6,PP Ojha,7.0,9.817843334502482
335990,2,8,6,Shahid Afridi,5.333333333333333,9.784054922980262
335990,2,12,6,A Symonds,20.727272727272727,9.162512702885866
335995,1,5,6,VRV Singh,8.0,8.244055722916707
335995,1,8,6,PP Chawla,9.0,9.06730216929345
335995,2,5,6,MF Maharoof,9.5,8.534009297869012
335995,2,8,6,Mohammad Asif,12.0,8.746463976189377
335996,1,5,6,Z Khan,14.0,12.880301417032804
335996,1,8,6,B Akhil,8.0,10.606084109210986
335996,1,12,6,B Akhil,14.0,11.071327262783374
335996,2,5,6,MS Gony,8.0,7.5236025558229205
335996,2,8,6,JA Morkel,9.23076923076923,8.925498843495122
335996,2,12,6,P Amarnath,8.0,11.183806375458248
336002,1,5,6,DW Steyn,1.0,8.89878684439524
336002,1,8,6,B Akhil,14.0,8.656491193332386
336002,1,12,6,R Vinay Kumar,6.0,8.183879852314657
336002,2,5,6,DP Vijaykumar,7.666666666666667,7.69816758688051
336002,2,8,6,SB Bangar,17.0,7.015033024850861
336002,2,12,6,WPUJC Vaas,13.0,10.39523351470384
336003,1,5,6,AB Dinda,9.428571428571429,6.250306200083309
336003,1,8,6,Mohammad Hafeez,6.0,10.430034344479298
336003,1,12,6,Umar Gul,8.666666666666666,7.36680294503866
336003,2,5,6,IK Pathan,6.857142857142857,9.700333363654002
336003,2,8,6,Gagandeep Singh,13.333333333333334,10.155054887731989
336003,2,12,6,Gagandeep Singh,18.0,7.777734824173053
336003,2,15,6,JR Hopes,18.0,10.815116592591544
336016,1,5,6,PP Chawla,6.0,7.866084950340356
336016,1,8,6,VRV Singh,3.5,9.86052696244213
336016,2,5,6,Z Khan,17.0,8.936472185292269
336018,1,5,6,DJ Bravo,10.666666666666666,8.609700690901667
336018,1,8,6,DS Kulkarni,10.5,8.416462164479434
336018,1,12,6,A Nehra,8.571428571428571,9.626140046038275
336018,1,15,6,DJ Bravo,14.0,11.759297905917169
336018,2,5,6,JA Morkel,0.0,8.691624944304284
336018,2,8,6,L Balaji,0.0,9.393255720736597
336022,1,5,6,VRV Singh,11.0,11.611864023174098
336022,1,8,6,RR Powar,0.0,12.9650548094357
336036,1,5,6,YK Pathan,4.0,9.841907386917388
336036,1,8,6,SK Trivedi,9.0,7.692482348683757
336036,1,12,6,SK Trivedi,8.571428571428571,9.715628404296917
336036,1,15,6,SK Warne,0.0,11.372481514245372
336036,2,5,6,CRD Fernando,7.894736842105263,10.393259624040523
336036,2,15,6,CRD Fernando,15.0,10.044473432882423
392188,1,8,6,A Kumble,15.0,8.536353101505743
392188,1,15,6,KP Pietersen,12.0,11.120170187514622
392188,2,5,6,RP Singh,4.0,6.302791856709711
392188,2,8,6,PP Ojha,7.0,7.827224691467406
392188,2,15,6,SB Styris,8.0,12.290655662468865
392212,1,5,6,DJ Bravo,7.5,6.750897610662613
392212,1,8,6,DJ Bravo,12.0,7.067793841898565
392212,1,12,6,ST Jayasuriya,10.5,7.803851037636779
392212,1,15,6,DS Kulkarni,6.0,4.052626780409965
392212,2,8,6,TL Suman,4.0,8.274672948867568
392212,2,12,6,RJ Harris,9.0,10.307761159721368
392212,2,15,6,RG Sharma,4.0,11.74434425028903
392216,1,5,6,S Sreesanth,11.5,8.226089761340756
392216,1,8,6,PP Chawla,11.0,8.258406941605873
392216,1,15,6,IK Pathan,9.0,11.404762294708764
392216,2,8,6,A Symonds,24.0,7.224894825540644
392216,2,15,6,PP Ojha,10.0,9.345055186621384
392220,1,5,6,SK Trivedi,11.5,6.8427994086566795
392220,1,8,6,SK Warne,7.0,7.171926213545481
392220,1,12,6,YK Pathan,11.0,7.586791214601269
392220,2,5,6,WPUJC Vaas,5.0,5.570238372522281
392220,2,8,6,A Symonds,12.0,7.291793294143597
392220,2,15,6,RG Sharma,5.0,8.501327139753798
392223,1,12,6,DR Smith,8.0,13.65031772149012
392223,1,15,6,RP Singh,10.0,12.48416865909149
392223,2,5,6,A Nehra,8.76923076923077,6.516516545081915
392223,2,8,6,A Mishra,12.5,6.686664864212901
392223,2,12,6,PJ Sangwan,30.0,1.782896206793678
392223,2,15,6,A Nehra,8.0,9.577405727786873
392228,1,5,6,A Symonds,8.666666666666666,10.096297061539389
392228,1,8,6,Harmeet Singh,16.363636363636363,7.860578777147506
392228,1,12,6,RG Sharma,11.0,9.150262475359405
392228,2,5,6,BJ Hodge,7.0,6.627954419112723
392228,2,12,6,M Kartik,6.0,8.2947747678046
392236,1,5,6,A Symonds,4.333333333333333,7.595457471834249
392236,1,8,6,Jaskaran Singh,13.714285714285714,8.414493653264659
392236,1,12,6,A Symonds,5.0,7.503303424994502
392236,2,5,6,RE van der Merwe,5.368421052631579,7.3886638030305685
392236,2,8,6,B Akhil,4.615384615384615,6.880458281324594
392236,2,12,6,RE van der Merwe,6.0,8.014242203086773
392237,1,5,6,PP Ojha,9.5,7.818418377347818
392237,1,8,6,A Symonds,2.0,10.621451937584538
392237,1,12,6,RG Sharma,9.0,10.34964348033288
392237,2,5,6,V Sehwag,6.0,9.798358331495322
392237,2,12,6,A Nehra,9.0,7.895782441687901
392237,2,15,6,PJ Sangwan,3.0,10.983165746231979
419110,1,5,6,M Muralitharan,9.23076923076923,7.365851030264316
419110,1,8,6,R Ashwin,7.5,6.609585963085437
419110,1,12,6,R Ashwin,10.0,7.376592289532229
419110,1,15,6,L Balaji,7.714285714285714,8.68797006013179
419110,2,5,6,PP Ojha,8.333333333333334,8.122757733319284
419110,2,8,6,RG Sharma,7.0,7.33673841786194
419112,1,5,6,JH Kallis,8.0,12.251255423271928
419112,1,8,6,A Kumble,11.0,9.651287210323291
419112,1,12,6,V Kohli,6.0,11.929960243273253
419112,2,8,6,PP Chawla,11.0,8.039962724876123
419112,2,15,6,Bipul Sharma,23.0,8.692494612172812
419113,1,5,6,LR Shukla,9.333333333333334,8.939935184086147
419113,1,8,6,LR Shukla,10.5,9.300651018106683
419113,1,12,6,SE Bond,17.0,8.095671882926725
419113,2,8,6,JM Kemp,2.3076923076923075,7.884976144954948
419113,2,15,6,M Muralitharan,3.0,7.945262802007543
419121,1,5,6,L Balaji,7.0,7.915047445528934
419121,1,8,6,M Muralitharan,6.0,7.529642754336922
419121,1,12,6,R Ashwin,8.0,8.538272077413453
419121,2,5,6,J Theron,3.473684210526316,8.233324607213932
419121,2,8,6,RR Powar,3.0,9.043789400441783
419121,2,12,6,J Theron,3.6923076923076925,9.62813335071947
419125,1,5,6,DJ Bravo,9.666666666666666,10.02862953612507
419125,1,8,6,Harbhajan Singh,6.0,7.697929575514786
419125,1,12,6,SL Malinga,9.692307692307692,11.455198356937805
419125,1,15,6,Z Khan,12.0,15.330996148006747
419125,2,5,6,L Balaji,13.0,8.303634790274938
419125,2,8,6,SB Jakati,4.0,8.730168274266905
419125,2,12,6,M Muralitharan,7.0,6.300039799452452
419134,1,5,6,S Narwal,17.0,9.662558959088472
