match_id,innings,over,ball_in_over,bowler,w2_actual_future_wicket,w2_predicted_wicket_prob
335983,1,5,6,JR Hopes,1,0.6094940925390588
335983,1,8,6,IK Pathan,1,0.44799884875302853
335983,1,12,6,WA Mota,0,0.45049088413430494
335983,1,15,6,IK Pathan,0,0.504294084075293
335983,2,5,6,MS Gony,0,0.4024448646123539
335983,2,8,6,Joginder Sharma,1,0.4451177252869226
335983,2,12,6,P Amarnath,0,0.34568378663538385
335990,1,5,6,SR Watson,1,0.47202241237149917
335990,1,8,6,SK Warne,1,0.6190343030448443
335990,1,15,6,SK Warne,1,0.4251721764650187
335990,2,5,6,PP Ojha,0,0.5190594700282843
335990,2,8,6,Shahid Afridi,1,0.5512586332640437
335990,2,12,6,A Symonds,0,0.4942979426742038
335995,1,5,6,VRV Singh,1,0.6406637696978433
335995,1,8,6,PP Chawla,0,0.5156405058678664
335995,2,5,6,MF Maharoof,0,0.5784582478463705
335995,2,8,6,Mohammad Asif,1,0.37482081064156564
335996,1,5,6,Z Khan,1,0.42730141497487056
335996,1,8,6,B Akhil,0,0.54379318743655
335996,1,12,6,B Akhil,0,0.3882525001764964
335996,2,5,6,MS Gony,1,0.39843673591308526
335996,2,8,6,JA Morkel,1,0.506105145752359
335996,2,12,6,P Amarnath,1,0.38323772645155363
336002,1,5,6,DW Steyn,1,0.43230606923387116
336002,1,8,6,B Akhil,0,0.6371167591336532
336002,1,12,6,R Vinay Kumar,1,0.5333822306243039
336002,2,5,6,DP Vijaykumar,0,0.6168865244536712
336002,2,8,6,SB Bangar,1,0.45479795817423935
336002,2,12,6,WPUJC Vaas,1,0.4222201170112132
336003,1,5,6,AB Dinda,0,0.5893804223781822
336003,1,8,6,Mohammad Hafeez,0,0.516821141579787
336003,1,12,6,Umar Gul,1,0.5387813189090357
336003,2,5,6,IK Pathan,0,0.3689226636734037
336003,2,8,6,Gagandeep Singh,1,0.5121971960794336
336003,2,12,6,Gagandeep Singh,1,0.3253029967496745
336003,2,15,6,JR Hopes,0,0.5324129313585236
336016,1,5,6,PP Chawla,1,0.5827896970466759
336016,1,8,6,VRV Singh,1,0.5403288707375448
336016,2,5,6,Z Khan,0,0.37030626992521054
336018,1,5,6,DJ Bravo,1,0.615048408005788
336018,1,8,6,DS Kulkarni,1,0.5508913218457377
336018,1,12,6,A Nehra,0,0.3693994992801007
336018,1,15,6,DJ Bravo,1,0.47359570217909486
336018,2,5,6,JA Morkel,0,0.4984023482173726
336018,2,8,6,L Balaji,0,0.4804980617702983
336022,1,5,6,VRV Singh,0,0.47728355210113477
336022,1,8,6,RR Powar,1,0.5194526068911262
336036,1,5,6,YK Pathan,0,0.6872839478504867
336036,1,8,6,SK Trivedi,1,0.5885563237210794
336036,1,12,6,SK Trivedi,0,0.4208335253920361
336036,1,15,6,SK Warne,0,0.1805989183525588
336036,2,5,6,CRD Fernando,1,0.5898685802945578
336036,2,15,6,CRD Fernando,0,0.44819128135177555
392188,1,8,6,A Kumble,0,0.557598024589203
392188,1,15,6,KP Pietersen,0,0.46033792031750015
392188,2,5,6,RP Singh,1,0.3666039544297326
392188,2,8,6,PP Ojha,1,0.5237529321768073
392188,2,15,6,SB Styris,1,0.4293065952809715
392212,1,5,6,DJ Bravo,0,0.6968158742885038
392212,1,8,6,DJ Bravo,0,0.6567873099949784
392212,1,12,6,ST Jayasuriya,0,0.6195253522591077
392212,1,15,6,DS Kulkarni,0,0.13573660632714957
392212,2,8,6,TL Suman,1,0.5138557078530028
392212,2,12,6,RJ Harris,0,0.34434588267375055
392212,2,15,6,RG Sharma,1,0.4662305910222089
392216,1,5,6,S Sreesanth,0,0.5909752401244673
392216,1,8,6,PP Chawla,0,0.5498449664177466
392216,1,15,6,IK Pathan,1,0.4034505920500085
392216,2,8,6,A Symonds,0,0.3490444321494059
392216,2,15,6,PP Ojha,1,0.33810937732522023
392220,1,5,6,SK Trivedi,0,0.524103774203854
392220,1,8,6,SK Warne,1,0.5562387746528327
392220,1,12,6,YK Pathan,1,0.5322251918973996
392220,2,5,6,WPUJC Vaas,0,0.3801182477546795
