match_id,innings,over,ball_in_over,bowler,optimization_score
335982,1,5,6,Z Khan,0.691666666666667
335982,1,8,6,JH Kallis,0.30000000000000004
335982,1,12,6,JH Kallis,0.6882352941176467
335982,1,15,6,AA Noffke,4.45
335982,2,5,6,AB Dinda,-5.483333333333333
335982,2,8,6,AB Agarkar,-3.5875
335982,2,12,6,LR Shukla,4.6000000000000005
335983,1,5,6,JR Hopes,4.116666666666667
335983,1,8,6,IK Pathan,2.45
335983,1,12,6,WA Mota,-1.2999999999999998
335983,1,15,6,IK Pathan,-0.8888888888888891
335983,2,5,6,MS Gony,0.9235294117647055
335983,2,8,6,Joginder Sharma,7.28
335983,2,12,6,P Amarnath,2.355555555555555
335983,2,15,6,P Amarnath,2.2250000000000005
335984,1,5,6,MF Maharoof,-1.1
335984,1,8,6,R Bhatia,-2.9
335984,1,12,6,R Bhatia,-7.230434782608695
335984,1,15,6,B Geeves,1.7791666666666663
335984,2,5,6,SK Trivedi,2.98
335984,2,8,6,SK Warne,2.4833333333333334
335984,2,12,6,D Salunkhe,5.4
335985,1,5,6,Z Khan,-7.888888888888889
335985,1,8,6,JH Kallis,7.0
335985,1,12,6,SB Joshi,1.1666666666666667
335985,1,15,6,JH Kallis,6.488235294117647
335985,2,5,6,SM Pollock,-0.1499999999999999
335985,2,8,6,Harbhajan Singh,4.66
335985,2,12,6,AM Nayar,4.166666666666667
335985,2,15,6,SM Pollock,0.7458333333333335
335986,1,5,6,AB Agarkar,6.7
335986,1,8,6,M Kartik,-5.258333333333333
335986,1,12,6,DJ Hussey,-0.1499999999999999
335986,1,15,6,I Sharma,-3.523529411764706
335986,2,5,6,SB Styris,-0.1499999999999999
335986,2,8,6,SB Bangar,-0.49090909090909096
335986,2,12,6,PP Ojha,-0.2250000000000001
335986,2,15,6,RP Singh,-1.6944444444444446
335987,1,5,6,SK Trivedi,7.7
335987,1,8,6,SK Warne,-4.45
335987,1,12,6,SK Trivedi,4.0
335987,1,15,6,YK Pathan,5.0166666666666675
335987,2,5,6,B Lee,-0.13888888888888862
335987,2,8,6,JR Hopes,-0.4388888888888889
335987,2,12,6,WA Mota,5.233333333333333
335987,2,15,6,B Lee,0.3125
335988,1,5,6,Mohammad Asif,-5.572222222222223
335988,1,8,6,VY Mahesh,2.4833333333333334
335988,1,12,6,R Bhatia,-3.6
335988,1,15,6,Mohammad Asif,-4.820833333333333
335988,2,5,6,RP Singh,0.3882352941176469
335988,2,8,6,SB Bangar,6.290909090909091
335988,2,12,6,A Symonds,8.041666666666666
335989,1,5,6,A Nehra,0.2124999999999999
335989,1,8,6,DJ Bravo,1.9833333333333332
335989,1,12,6,SM Pollock,4.133333333333334
335989,1,15,6,DJ Bravo,5.558823529411765
335989,2,5,6,MS Gony,-3.672222222222222
335989,2,8,6,P Amarnath,2.4833333333333334
335989,2,12,6,M Muralitharan,3.536363636363636
335989,2,15,6,M Muralitharan,1.816666666666667
335990,1,5,6,SR Watson,1.8823529411764706
335990,1,8,6,SK Warne,-0.2999999999999998
335990,1,12,6,YK Pathan,-1.5
335990,1,15,6,SK Warne,2.411111111111111
335990,2,5,6,PP Ojha,7.7
335990,2,8,6,Shahid Afridi,5.066666666666667
335990,2,12,6,A Symonds,3.4333333333333336
335990,2,15,6,D Kalyankrishna,1.777777777777778
335991,1,5,6,DS Kulkarni,6.619999999999999
335991,1,8,6,Harbhajan Singh,0.06666666666666657
335991,1,12,6,MA Khote,2.2
335991,1,15,6,DJ Bravo,3.3833333333333333
335991,2,5,6,S Sreesanth,1.25
335991,2,8,6,PP Chawla,-1.6916666666666667
335991,2,12,6,PP Chawla,-4.908333333333333
335991,2,15,6,S Sreesanth,0.10000000000000014
335992,1,5,6,MM Patel,6.75
335992,1,8,6,SK Trivedi,-0.20833333333333334
335992,1,12,6,YK Pathan,4.333333333333333
335992,1,15,6,SK Warne,-4.694444444444444
335992,2,5,6,Z Khan,-0.7222222222222223
335992,2,8,6,JH Kallis,2.4833333333333334
335992,2,12,6,SB Joshi,1.9833333333333332
335992,2,15,6,SB Joshi,-0.1055555555555554
335993,1,5,6,MS Gony,1.7833333333333337
335993,1,8,6,M Muralitharan,-0.9545454545454544
335993,1,12,6,JDP Oram,-2.4
335993,1,15,6,M Muralitharan,-0.4173913043478261
335993,2,5,6,AB Agarkar,3.2166666666666663
335993,2,8,6,AB Agarkar,-0.125
335993,2,12,6,LR Shukla,0.30000000000000004
335993,2,15,6,I Sharma,2.441176470588236
335994,1,5,6,Shahid Afridi,-1.8000000000000003
335994,1,8,6,SB Bangar,-2.2
335994,1,12,6,D Kalyankrishna,3.4333333333333336
335994,1,15,6,Shahid Afridi,-3.2944444444444443
335994,2,5,6,SD Chitnis,6.08
335994,2,8,6,ST Jayasuriya,3.1583333333333337
335995,1,5,6,VRV Singh,-1.9166666666666667
335995,1,8,6,PP Chawla,0.8916666666666667
335995,1,12,6,PP Chawla,2.0958333333333337
335995,1,15,6,S Sreesanth,5.791666666666667
335995,2,5,6,MF Maharoof,5.566666666666667
335995,2,8,6,Mohammad Asif,0.6055555555555554
335995,2,12,6,MF Maharoof,4.038888888888889
335995,2,15,6,GD McGrath,-0.32083333333333314
335996,1,5,6,Z Khan,0.15555555555555567
335996,1,8,6,B Akhil,4.333333333333333
335996,1,12,6,B Akhil,2.0555555555555554
335996,1,15,6,B Akhil,3.0333333333333337
335996,2,5,6,MS Gony,0.5111111111111111
335996,2,8,6,JA Morkel,4.236363636363636
335996,2,12,6,P Amarnath,1.9444444444444444
335996,2,15,6,P Amarnath,-0.9333333333333329
335997,1,5,6,DJ Bravo,-3.6
335997,1,8,6,CRD Fernando,3.075
335997,1,12,6,SM Pollock,-3.0041666666666664
335997,1,15,6,ST Jayasuriya,-10.21304347826087
335997,2,5,6,I Sharma,0.38333333333333297
335997,2,8,6,Mohammad Hafeez,9.440000000000001
335997,2,12,6,SC Ganguly,3.0666666666666664
335997,2,15,6,LR Shukla,5.116666666666667
335998,1,5,6,P Kumar,0.5833333333333333
335998,1,8,6,JH Kallis,0.30000000000000004
335998,1,12,6,Z Khan,5.177777777777778
335998,1,15,6,P Kumar,1.6055555555555556
335998,2,5,6,VY Mahesh,2.4833333333333334
335998,2,8,6,DL Vettori,1.1666666666666667
335998,2,12,6,Mohammad Asif,3.8888888888888884
335998,2,15,6,GD McGrath,-7.654166666666667
335999,1,5,6,VRV Singh,5.066666666666667
335999,1,8,6,PP Chawla,-3.1333333333333333
335999,1,12,6,PP Chawla,-6.305555555555556
335999,1,15,6,Gagandeep Singh,-0.8333333333333335
335999,2,5,6,SB Bangar,-2.2
335999,2,8,6,SB Bangar,0.4333333333333334
