match_id,innings,over,ball_in_over,bowler,w14_actual_future_economy,w14_predicted_future_economy
335983,1,0,1,B Lee,9.130434782608695,8.74748354800801
335983,1,0,2,B Lee,9.545454545454545,8.847135340841245
335983,1,0,3,B Lee,9.714285714285714,8.72179253164611
335983,1,0,4,B Lee,10.2,8.743433470281149
335983,1,0,5,B Lee,9.473684210526315,8.845780106580891
335983,1,0,6,B Lee,10.0,8.911390507151285
335983,1,1,1,S Sreesanth,10.941176470588236,8.725003390701058
335983,1,1,2,S Sreesanth,10.125,8.930794385233343
335983,1,1,3,S Sreesanth,9.2,9.331158517839345
335983,1,1,4,S Sreesanth,9.0,9.528123919624239
335983,1,1,5,S Sreesanth,8.571428571428571,9.528123919624239
335983,1,1,6,S Sreesanth,9.23076923076923,9.487981134717149
335983,1,1,7,S Sreesanth,10.0,9.473709739215526
335983,1,2,1,B Lee,10.588235294117647,9.50523018202405
335983,1,2,2,B Lee,8.823529411764707,9.187046738924286
335983,1,2,3,B Lee,9.375,9.556458841659648
335983,1,2,4,B Lee,9.6,9.615181075954466
335983,1,2,5,B Lee,10.285714285714286,9.148711832423897
335983,1,2,6,B Lee,10.615384615384615,9.236479214130402
335983,1,2,7,B Lee,11.5,9.18876435542109
335983,1,3,1,S Sreesanth,10.909090909090908,9.332178074073273
335983,1,3,2,S Sreesanth,12.0,9.41535918250113
335983,1,3,3,S Sreesanth,12.666666666666666,9.407410065558095
335983,1,3,4,S Sreesanth,13.5,9.607891128312145
335983,1,3,5,S Sreesanth,15.428571428571429,9.954229125503092
335983,1,3,6,S Sreesanth,14.0,9.76347355797114
335983,1,4,1,B Lee,12.545454545454545,9.356580846364245
335983,1,4,2,B Lee,13.8,9.356867386737834
335983,1,4,3,B Lee,12.666666666666666,9.32315779211261
335983,1,4,4,B Lee,11.25,9.411872721643684
335983,1,4,5,B Lee,12.857142857142858,9.39581953685401
335983,1,4,6,B Lee,15.0,9.474461977556242
335983,1,5,1,JR Hopes,12.782608695652174,8.466709220006058
335983,1,5,2,JR Hopes,11.727272727272727,8.66200660711577
335983,1,5,3,JR Hopes,12.285714285714286,8.947081963382518
335983,1,5,4,JR Hopes,12.6,8.997289570615775
335983,1,5,5,JR Hopes,13.263157894736842,8.809380129800195
335983,1,5,6,JR Hopes,14.0,8.780641839093159
335983,1,6,1,IK Pathan,11.217391304347826,8.258019232669676
335983,1,6,2,IK Pathan,11.727272727272727,7.9128818367680465
335983,1,6,3,IK Pathan,12.0,8.223796944496124
335983,1,6,4,IK Pathan,12.0,8.66266380366505
335983,1,6,5,IK Pathan,12.31578947368421,8.675971160331406
335983,1,6,6,IK Pathan,12.666666666666666,8.68766595296174
335983,1,7,1,JR Hopes,14.823529411764707,8.158037435417112
335983,1,7,2,JR Hopes,15.375,8.703978064877147
335983,1,7,3,JR Hopes,16.4,8.647165633572605
335983,1,7,4,JR Hopes,17.142857142857142,8.661472691083324
335983,1,7,5,JR Hopes,15.692307692307692,8.848879776057158
335983,1,7,6,JR Hopes,17.0,8.821327926527982
335983,1,8,1,IK Pathan,13.058823529411764,8.884536789418677
335983,1,8,2,IK Pathan,12.375,9.008495673038917
335983,1,8,3,IK Pathan,12.8,9.003507710342982
335983,1,8,4,IK Pathan,13.714285714285714,8.873264354270635
335983,1,8,5,IK Pathan,12.0,9.170086118914888
335983,1,8,6,IK Pathan,12.5,9.170086118914888
335983,1,9,1,K Goel,12.545454545454545,9.106026865025411
335983,1,9,2,K Goel,13.2,9.189855155058446
335983,1,9,3,K Goel,14.0,9.206560775755605
335983,1,9,4,K Goel,15.75,9.199882175367735
