iter	Passed	Remaining
0	112	33527
1	280	41804
2	406	40199
3	543	40217
4	671	39622
5	796	39030
6	843	35294
7	973	35532
8	1099	35549
9	1229	35641
10	1350	35486
11	1475	35420
12	1607	35492
13	1726	35269
14	1823	34640
15	1964	34864
16	2013	33521
17	2127	33330
18	2248	33250
19	2368	33153
20	2410	32029
21	2535	32045
22	2657	32008
23	2777	31944
24	2839	31234
25	2964	31244
26	3100	31349
27	3224	31323
28	3340	31217
29	3462	31162
30	3591	31168
31	3713	31096
32	3842	31091
33	3891	30443
34	3969	30052
35	4028	29544
36	4080	29008
37	4137	28526
38	4214	28202
39	4275	27789
40	4338	27404
41	4388	26959
42	4449	26591
43	4506	26219
44	4566	25878
45	4637	25607
46	4706	25332
47	4769	25038
48	4822	24701
49	4852	24263
50	4910	23973
51	4984	23774
52	5046	23516
53	5108	23272
54	5161	22990
55	5212	22713
56	5270	22471
57	5333	22252
58	5409	22097
59	5476	21904
60	5529	21663
61	5566	21366
62	5618	21135
63	5678	20939
64	5747	20778
65	5808	20594
66	5881	20454
67	5951	20306
68	6005	20103
69	6064	19924
70	6129	19770
71	6205	19651
72	6265	19484
73	6322	19308
74	6395	19185
75	6464	19053
76	6523	18893
77	6574	18710
78	6628	18543
79	6693	18406
80	6747	18243
81	6816	18122
82	6879	17985
83	6946	17862
84	7009	17730
85	7067	17586
86	7091	17362
87	7152	17231
88	7222	17123
89	7269	16962
90	7328	16831
91	7398	16726
92	7458	16600
93	7514	16468
94	7577	16350
95	7641	16238
96	7703	16121
97	7773	16023
98	7838	15914
99	7907	15814
100	7976	15715
101	8032	15591
102	8104	15500
103	8171	15399
104	8244	15311
105	8306	15203
106	8367	15093
107	8383	14904
108	8451	14809
109	8517	14712
110	8585	14618
111	8649	14519
112	8720	14431
113	8825	14399
114	8852	14240
115	8907	14129
116	8972	14033
117	9037	13938
118	9106	13851
119	9168	13752
120	9238	13666
121	9313	13588
122	9375	13492
123	9446	13407
124	9472	13261
125	9542	13177
126	9611	13093
127	9693	13026
128	9766	12945
129	9789	12801
130	9867	12729
131	9926	12633
132	9988	12541
133	10066	12470
134	10150	12406
135	10222	12327
136	10294	12247
137	10307	12100
138	10375	12017
139	10458	11952
140	10527	11871
141	10593	11787
142	10650	11692
143	10689	11580
144	10759	11502
145	10836	11430
146	10899	11344
147	10984	11280
148	11059	11208
149	11077	11077
150	11160	11012
151	11225	10930
152	11308	10864
153	11385	10794
154	11472	10731
155	11530	10643
156	11587	10554
157	11650	10470
158	11726	10398
159	11786	10313
160	11872	10250
161	11973	10199
162	12037	10117
163	12119	10050
164	12199	9981
165	12267	9902
166	12344	9830
167	12413	9753
168	12438	9641
169	12484	9546
170	12551	9468
171	12589	9368
172	12660	9294
173	12729	9217
174	12822	9159
175	12890	9081
176	12964	9009
177	13037	8935
178	13117	8866
179	13210	8807
180	13284	8733
181	13358	8660
182	13429	8586
183	13512	8518
184	13588	8446
185	13671	8379
186	13734	8299
187	13809	8227
188	13885	8155
189	13950	8076
190	14024	8003
191	14096	7929
192	14169	7855
193	14240	7781
194	14321	7711
195	14411	7646
196	14480	7571
197	14566	7503
198	14632	7426
199	14707	7353
200	14777	7278
201	14874	7216
202	14949	7143
203	15031	7073
204	15098	6996
205	15167	6921
206	15258	6855
207	15331	6781
208	15419	6713
209	15482	6635
210	15542	6555
211	15592	6472
212	15647	6391
213	15717	6316
214	15772	6235
215	15859	6167
216	15923	6090
217	15996	6016
218	16062	5941
219	16140	5869
220	16203	5792
221	16302	5727
222	16378	5655
223	16457	5583
224	16521	5507
225	16642	5449
226	16806	5404
227	16940	5349
228	17067	5291
229	17187	5231
230	17346	5181
231	17512	5132
232	17638	5072
233	17761	5009
234	17884	4946
235	18046	4894
236	18195	4836
237	18325	4773
238	18448	4708
239	18596	4649
240	18776	4596
241	18901	4530
242	19027	4463
243	19186	4403
244	19315	4336
245	19451	4269
246	19573	4200
247	19699	4130
248	19842	4064
249	20014	4002
250	20135	3930
251	20270	3861
252	20396	3789
253	20520	3716
254	20696	3652
255	20828	3579
256	20955	3506
257	21089	3433
258	21226	3360
259	21349	3284
260	21499	3212
261	21670	3143
262	21802	3067
263	21961	2994
264	22084	2916
265	22248	2843
266	22397	2768
267	22558	2693
268	22690	2614
269	22829	2536
270	22963	2457
271	23127	2380
272	23254	2299
273	23430	2223
274	23588	2144
275	23710	2061
276	23831	1978
277	23946	1895
278	24068	1811
279	24187	1727
280	24308	1643
281	24430	1559
282	24549	1474
283	24671	1389
284	24792	1304
285	24918	1219
286	25038	1134
287	25155	1048
288	25276	962
289	25396	875
290	25517	789
291	25635	702
292	25753	615
293	25875	528
294	26001	440
295	26130	353
296	26254	265
297	26384	177
298	26509	88
299	26637	0
